name,exaggeration,cfg_weight,temperature,load_mem_allot,load_mem_reserved,eval_mem_allot,eval_mem_reserved,gen_duration,audio_length,file_size,sentences,words,avg_words
matariki_light_pollution,0.5,0.6,0.5,6772059648,6838812672,6772059648,7759462400,5.452273845672607,27.64,2653520,3,67,5.19
thesis_abstract,0.8,0.5,1.0,6759407104,6786383872,6759407104,7744782336,5.564625978469849,28.6,2745680,3,57,6.7
thesis_abstract,0.7,0.5,1.0,6765174272,6817841152,6765174272,7843348480,5.858616590499878,29.88,2868560,3,57,6.7
matariki_light_pollution,0.4,0.6,1.0,6767687168,6838812672,6767687168,7759462400,5.447147607803345,27.68,2657360,3,67,5.19
thesis_abstract,0.5,0.5,0.5,6766942208,6847201280,6766942208,8176795648,6.32819414138794,31.6,3033680,3,57,6.7
matariki_light_pollution,0.8,0.5,0.2,6768679424,6847201280,6768679424,7704936448,5.165087699890137,26.4,2534480,3,67,5.19
thesis_abstract,0.4,0.3,1.0,6769722880,6840909824,6769722880,8157921280,6.649749279022217,33.24,3191120,3,57,6.7
matariki_light_pollution,0.6,0.6,0.8,6767564288,6843006976,6767564288,7633633280,4.925976991653442,25.04,2403920,3,67,5.19
matariki_light_pollution,0.7,0.5,0.2,6771203584,6853492736,6771203584,7677673472,5.063028335571289,25.8,2476880,3,67,5.19
matariki_light_pollution,0.8,0.5,0.8,6769714688,6857687040,6769714688,7677673472,5.012430667877197,25.64,2461520,3,67,5.19
matariki_light_pollution,0.6,0.5,1.0,6771424768,6859784192,6771424768,7799308288,5.5259199142456055,28.2,2707280,3,67,5.19
matariki_light_pollution,0.8,0.5,0.5,6768373760,6843006976,6768373760,7667187712,5.03045916557312,25.72,2469200,3,67,5.19
matariki_light_pollution,0.6,0.6,0.2,6772631040,6843006976,6772631040,7633633280,4.910772800445557,25.08,2407760,3,67,5.19
thesis_abstract,0.5,0.3,0.8,6767795712,6836715520,6767795712,7876902912,5.9280877113342285,30.28,2906960,3,57,6.7
matariki_light_pollution,0.5,0.6,0.2,6771922432,6845104128,6771922432,7746879488,5.38361930847168,27.28,2618960,3,67,5.19
matariki_light_pollution,0.7,0.5,0.8,6771299328,6843006976,6771299328,7696547840,5.215020418167114,26.32,2526800,3,67,5.19
matariki_light_pollution,0.6,0.3,0.8,6771990016,6838812672,6771990016,7807696896,5.636885404586792,28.8,2764880,3,67,5.19
thesis_abstract,0.7,0.6,1.0,6760924672,6792675328,6760924672,7713325056,5.426258563995361,27.76,2665040,3,57,6.7
matariki_light_pollution,0.7,0.6,1.0,6770746880,6845104128,6770746880,7713325056,5.222011089324951,26.6,2553680,3,67,5.19
matariki_light_pollution,0.5,0.3,0.2,6764354048,6838812672,6764354048,8596226048,8.043107986450195,40.0,3840080,3,67,5.19
thesis_abstract,0.5,0.3,1.0,6763102720,6845104128,6763102720,8411676672,7.439080238342285,37.08,3559760,3,57,6.7
thesis_abstract,0.4,0.3,0.5,6771430400,6843006976,6771430400,8130658304,6.52245306968689,32.72,3141200,3,57,6.7
matariki_light_pollution,0.8,0.6,1.0,6769892864,6836715520,6769892864,7675576320,5.126155138015747,26.12,2507600,3,67,5.19
matariki_light_pollution,0.6,0.3,1.0,6769664512,6851395584,6769664512,7723810816,5.263103723526001,26.84,2576720,3,67,5.19
matariki_light_pollution,0.8,0.3,0.8,6771121152,6843006976,6771121152,7782531072,5.529487609863281,28.28,2714960,3,67,5.19
thesis_abstract,0.8,0.6,0.5,6756148736,6782189568,6756148736,7654604800,5.226147413253784,26.8,2572880,3,57,6.7
matariki_light_pollution,0.6,0.3,0.2,6767947264,6855589888,6767947264,7824474112,5.616873264312744,28.76,2761040,3,67,5.19
matariki_light_pollution,0.7,0.6,0.2,6770087424,6845104128,6770087424,7635730432,4.919323682785034,25.04,2403920,3,67,5.19
thesis_abstract,0.5,0.5,0.2,6766747136,6840909824,6766747136,8598323200,8.038708686828613,40.0,3840080,3,57,6.7
thesis_abstract,0.7,0.5,0.5,6766582272,6824132608,6766582272,7782531072,5.617274045944214,28.52,2738000,3,57,6.7
